"reviews"	Translation	Positive	Negative	EmotionRationale
"Highly recommend. Very easy to use and makes keeping track of farm income/ expenses very easy."	"Highly recommend.<br> Very easy to use and makes keeping track of farm income/ expenses very easy.	1	-1	 Highly[0] recommend[0] [[Sentence=-1,1=word max, 1-5]] Very[0] easy[0] to[0] use[0] and[0] makes[0] keeping[0] track[0] of[0] farm[0] income/[0] expenses[0] very[0] easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"App works and suits perfectly for my farm incomes and expenses tracking . Very User friendly . A suggestion if you could add an option of attaching a photo of the bill with the expenses and income . Also another option of entering receipts and payments . This would allow the farmer to completely keep track of everything . It would become a complete accounting app . All the very best to the developer  U 0001F60A  U 0001F44D  U 0001F3FC  ."	"Ap works and suits perfectly for my farm incomes and expenses tracking .<br> Very User friendly .<br> A suggestion if you could add an option of attaching a photo of the bill with the expenses and income .<br> Also another option of entering receipts and payments .<br> This would allow the farmer to completely keep track of everything .<br> It would become a complete accounting ap .<br> All the very best to the developer  U 001F60A  U 001F44D  U 001F3FC  .	3	-1	 App/Ap[0] works[0] and[0] suits[0] perfectly[1] for[0] my[0] farm[0] incomes[0] and[0] expenses[0] tracking[0] [[Sentence=-1,2=word max, 1-5]] Very[0] User[0] friendly[1] [[Sentence=-1,2=word max, 1-5]] A[0] suggestion[0] if[0] you[0] could[0] add[0] an[0] option[0] of[0] attaching[0] a[0] photo[0] of[0] the[0] bill[0] with[0] the[0] expenses[0] and[0] income[0] [[Sentence=-1,1=word max, 1-5]] Also[0] another[0] option[0] of[0] entering[0] receipts[0] and[0] payments[0] [[Sentence=-1,1=word max, 1-5]] This[0] would[0] allow[0] the[0] farmer[0] to[0] completely[0] keep[0] track[0] of[0] everything[0] [[Sentence=-1,1=word max, 1-5]] It[0] would[0] become[0] a[0] complete[0] accounting[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] All[0] the[0] very[0] best[1][1 LastWordBoosterStrength] to[0] the[0] developer[0] U[0] 0001F60A/001F60A[0] U[0] 0001F44D/001F44D[0] U[0] 0001F3FC/001F3FC[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"I like this app for its usability and the accurate accounting. It has made record keeping easier for me and i can easily track my farming cashflow. The developer is also very responsive when i contact through support. Thanks for this innovation"	"I like this ap for its usability and the accurate accounting.<br> It has made record keeping easier for me and i can easily track my farming cashflow.<br> The developer is also very responsive when i contact through support.<br> Thanks for this innovation"	2	-1	 I[0] like[1] this[0] app/ap[0] for[0] its[0] usability[0] and[0] the[0] accurate[0] accounting[0] [[Sentence=-1,2=word max, 1-5]] It[0] has[0] made[0] record[0] keeping[0] easier[0] for[0] me[0] and[0] i[0] can[0] easily[0] track[0] my[0] farming[0] cashflow[0] [[Sentence=-1,1=word max, 1-5]] The[0] developer[0] is[0] also[0] very[0] responsive[0] when[0] i[0] contact[0] through[0] support[1] [[Sentence=-1,2=word max, 1-5]] Thanks[1] for[0] this[0] innovation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"Love the app. It would be great if you could add yield tracking option. So that I can keep track of how much yield I got in a season. It would be a great tool for vegetable farmers."	"Love the ap.<br> It would be great if you could add yield tracking option.<br> So that I can keep track of how much yield I got in a season.<br> It would be a great tool for vegetable farmers.	3	-1	 Love[2] the[0] app/ap[0] [[Sentence=-1,3=word max, 1-5]] It[0] would[0] be[0] great[2] if[0] you[0] could[0] add[0] yield[0] tracking[0] option[0] [[Sentence=-1,3=word max, 1-5]] So[0] that[0] I[0] can[0] keep[0] track[0] of[0] how[0] much[0] yield[0] I[0] got[0] in[0] a[0] season[0] [[Sentence=-1,1=word max, 1-5]] It[0] would[0] be[0] a[0] great[2] tool[0] for[0] vegetable[0] farmers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"Works good for keeping track of expenses. It really needs a spot to keep track of miles."	"Works good for keeping track of expenses.<br> It really needs a spot to keep track of miles.	2	-1	 Works[0] good[1] for[0] keeping[0] track[0] of[0] expenses[0] [[Sentence=-1,2=word max, 1-5]] It[0] really[0] needs[0] a[0] spot[0] to[0] keep[0] track[0] of[0] miles[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"Very easy to use for keeping track of farm income and expenses."	"Very easy to use for keeping track of farm income and expenses.	1	-1	 Very[0] easy[0] to[0] use[0] for[0] keeping[0] track[0] of[0] farm[0] income[0] and[0] expenses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Useful for keeping track of income and expenditure. Easy to use."	"Useful for keeping track of income and expenditure.<br> Easy to use.	2	-1	 Useful[1] for[0] keeping[0] track[0] of[0] income[0] and[0] expenditure[0] [[Sentence=-1,2=word max, 1-5]] Easy[0] to[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"Awesome to keep track on your expenses and income is"	"Awesome to keep track on your expenses and income is"	3	-1	 Awesome[2] to[0] keep[0] track[0] on[0] your[0] expenses[0] and[0] income[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"Useful to keep track P&L"	"Useful to keep track P&L"	2	-1	 Useful[1] to[0] keep[0] track[0] P&L[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"Great, multifunctional app that pairs nicely with the FarmLogs web platform. Easy to use with a nice clean format. Before the update I've really utilized the \"Products\" function to keep track of our farm input inventory. FarmLogs team is also very responsive to feedback in order to make their app fit your operation. It's true that pricing for this has changed, but if you price other programs with similar features, FarmLogs is still the value option."	"Great, multifunctional ap that pairs nicely with the FarmLogs web platform.<br> Easy to use with a nice clean format.<br> Before the update I've really utilized the \"Products\" function to keep track of our farm input inventory.<br> FarmLogs team is also very responsive to feedback in order to make their ap fit your operation.<br> It's true that pricing for this has changed, but if you price other programs with similar features, FarmLogs is still the value option.	3	-1	 Great[2] multifunctional[0] app/ap[0] that[0] pairs[0] nicely[1] with[0] the[0] FarmLogs[0] web[0] platform[0] [[Sentence=-1,3=word max, 1-5]] Easy[0] to[0] use[0] with[0] a[0] nice[1] clean[0] format[0] [[Sentence=-1,2=word max, 1-5]] Before[0] the[0] update[0] I've[0] really[0] utilized[0] the[0] \[0] Products\[0] function[0] to[0] keep[0] track[0] of[0] our[0] farm[0] input[0] inventory[0] [[Sentence=-1,1=word max, 1-5]] FarmLogs[0] team[0] is[0] also[0] very[0] responsive[0] to[0] feedback[0] in[0] order[0] to[0] make[0] their[0] app/ap[0] fit[0] your[0] operation[0] [[Sentence=-1,1=word max, 1-5]] It's[0] true[1] that[0] pricing[0] for[0] this[0] has[0] changed[0] but[0] if[0] you[0] price[0] other[0] programs[0] with[0] similar[0] features[0] FarmLogs[0] is[0] still[0] the[0] value[1] option[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
