"reviews"	Translation	Positive	Negative	EmotionRationale
"1" "I am facing a problem for transfer the data from mobile to laptop. Its not exactly save the data as in the app .i.e.name of the plant ,genotype etc. If anyone have solution could you share experience with me .it would be appreciated. Thx"	"1" "I am facing a problem for transfer the data from mobile to laptop.<br> Its not exactly save the data as in the ap .<br>i.<br>e.<br>name of the plant ,genotype etc.<br> If anyone have solution could you share experience with me .<br>it would be appreciated.<br> Thx"	2	-2	 "1[0] I[0] am[0] facing[0] a[0] problem[-1] for[0] transfer[0] the[0] data[0] from[0] mobile[0] to[0] laptop[0] [[Sentence=-2,1=word max, 1-5]] Its[0] not[0] exactly[0] save[1][NegatedDueToPreviousWord] the[0] data[0] as[0] in[0] the[0] app/ap[0] [[Sentence=-2,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] name[0] of[0] the[0] plant[0] genotype[0] etc[0] [[Sentence=-1,1=word max, 1-5]] If[0] anyone[0] have[0] solution[0] could[0] you[0] share[0] experience[0] with[0] me[0] [[Sentence=-1,1=word max, 1-5]] it[0] would[0] be[0] appreciated[1] [[Sentence=-1,2=word max, 1-5]] Thx[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
"2" "extremely inaccurate. you are much better off training your crews eye and estimating. this app simply doesn't work with coverage over 40%. it does work in low density, I guess, low density can be hard... I'm still looking for a replacement for GLAMA. why did it get pulled."	"2" "extremely inaccurate.<br> you are much better off training your crews eye and estimating.<br> this ap simply doesn't work with coverage over 40%.<br> it does work in low density, I guess, low density can be hard.<br> I'm still looking for a replacement for GLAMA.<br> why did it get pulled.	1	-2	 "2[0] extremely[0] inaccurate[0] [[Sentence=-1,1=word max, 1-5]] you[0] are[0] much[0] better[0] off[0] training[0] your[0] crews[0] eye[0] and[0] estimating[0] [[Sentence=-1,1=word max, 1-5]] this[0] app/ap[0] simply[0] doesn't[0] work[0] with[0] coverage[0] over[0] 40%[0] [[Sentence=-1,1=word max, 1-5]] it[0] does[0] work[0] in[0] low[-1] density[0] I[0] guess[0] low[-1] density[0] can[0] be[0] hard[0] [[Sentence=-2,1=word max, 1-5]] I'm[0] still[0] looking[0] for[0] a[0] replacement[0] for[0] GLAMA[0] [[Sentence=-1,1=word max, 1-5]] why[0] did[0] it[0] get[0] pulled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
"3" "I can't rate it because I can't login. It doesn't work on Android 10."	"3" "I can't rate it because I can't login.<br> It doesn't work on Android 10.	1	-1	 "3[0] I[0] can't[0] rate[0] it[0] because[0] I[0] can't[0] login[0] [[Sentence=-1,1=word max, 1-5]] It[0] doesn't[0] work[0] on[0] Android[0] 10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"4" "Simple to use & appears to be pretty accurate"	"4" "Simple to use & appears to be pretty accurate"	3	-1	 "4[0] Simple[0] to[0] use[0] &[0] appears[0] to[0] be[0] pretty[2] accurate[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"5" "I CAN'T MAKE AN ACCOUNT IN THE MOBILE APP.. I MADE IT TWO TIMES WITH DIFFERENT DATA THEN TELL ME USER OR PASSWORD MAY BE WRONGR"	"5" "I CAN'T MAKE AN ACCOUNT IN THE MOBILE AP.<br> I MADE IT TWO TIMES WITH DIFFERENT DATA THEN TELL ME USER OR PASSWORD MAY BE WRONGR"	1	-3	 "5[0] I[0] CAN'T[0] MAKE[0] AN[0] ACCOUNT[0] IN[0] THE[0] MOBILE[0] APP/AP[0] [[Sentence=-1,1=word max, 1-5]] I[0] MADE[0] IT[0] TWO[0] TIMES[0] WITH[0] DIFFERENT[0] DATA[0] THEN[0] TELL[0] ME[0] USER[0] OR[0] PASSWORD[0] MAY[0] BE[0] WRONGR[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
"6" "This app has really helped my in doing my final year project. Thank you developers for this app."	"6" "This ap has really helped my in doing my final year project.<br> Thank you developers for this ap.	2	-1	 "6[0] This[0] app/ap[0] has[0] really[0] helped[0] my[0] in[0] doing[0] my[0] final[0] year[0] project[0] [[Sentence=-1,1=word max, 1-5]] Thank[1] you[0] developers[0] for[0] this[0] app/ap[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"7" "excellent to use in field !!"	"7" "excellent to use in field !	4	-1	 "7[0] excellent[3] to[0] use[0] in[0] field[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
"8" "I found this mobile application very important to do researches about water productivity using AquaCrop model"	"8" "I found this mobile application very important to do researches about water productivity using AquaCrop model"	1	-1	 "8[0] I[0] found[0] this[0] mobile[0] application[0] very[0] important[0] to[0] do[0] researches[0] about[0] water[0] productivity[0] using[0] AquaCrop[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"9" "This is a very helpful tool in assessment of field trials of the effects of various treatments on plant growth/canopy cover - takes out the guesswork of estimating plant row cover. Very useful"	"9" "This is a very helpful tool in assessment of field trials of the effects of various treatments on plant growth/canopy cover - takes out the guesswork of estimating plant row cover.<br> Very useful"	3	-1	 "9[0] This[0] is[0] a[0] very[0] helpful[1][1 LastWordBoosterStrength] tool[0] in[0] assessment[0] of[0] field[0] trials[0] of[0] the[0] effects[0] of[0] various[0] treatments[0] on[0] plant[0] growth/canopy[0] cover[0] takes[0] out[0] the[0] guesswork[0] of[0] estimating[0] plant[0] row[0] cover[0] [[Sentence=-1,3=word max, 1-5]] Very[0] useful[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"10" "Pretty cool app that i stumbled upon by accident. Can't wait to use it on an actual field instead of my yard."	"10" "Pretty cool ap that i stumbled upon by accident.<br> Can't wait to use it on an actual field instead of my yard.	3	-2	 "10[0] Pretty[2] cool[1] app/ap[0] that[0] i[0] stumbled[0] upon[0] by[0] accident[-1] [[Sentence=-2,3=word max, 1-5]] Can't[0] wait[0] to[0] use[0] it[0] on[0] an[0] actual[0] field[0] instead[0] of[0] my[0] yard[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
"11" "Tai"	"11" "Tai"	1	-1	 "11[0] Tai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"12" "Useful app"	"12" "Useful ap"	2	-1	 "12[0] Useful[1] app/ap[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"13" "Very excellent"	"13" "Very excellent"	5	-1	 "13[0] Very[0] excellent[3][1 LastWordBoosterStrength] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
"14" "Excellent!"	"14" "Excellent!	4	-1	 "14[0] Excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
"15" "Nice"	"15" "Nice"	2	-1	 "15[0] Nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"16" "Have been using this app for the last 5 months and indeed is a game changer in farming. Keep improving and bravo for good innovation team"	"16" "Have been using this ap for the last 5 months and indeed is a game changer in farming.<br> Keep improving and bravo for good innovation team"	2	-1	 "16[0] Have[0] been[0] using[0] this[0] app/ap[0] for[0] the[0] last[0] 5[0] months[0] and[0] indeed[0] is[0] a[0] game[0] changer[0] in[0] farming[0] [[Sentence=-1,1=word max, 1-5]] Keep[0] improving[1] and[0] bravo[0] for[0] good[1] innovation[0] team[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"17" "Love this app! We do produce farming and it is an essential part in our record keeping."	"17" "Love this ap!<br> We do produce farming and it is an essential part in our record keeping.	3	-1	 "17[0] Love[2] this[0] app/ap[0] [[Sentence=-1,3=word max, 1-5]] We[0] do[0] produce[0] farming[0] and[0] it[0] is[0] an[0] essential[0] part[0] in[0] our[0] record[0] keeping[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
