"reviews"	Translation	Positive	Negative	EmotionRationale
"Very frustrating. First of all, the highlight of the implement width does not show anywhere when you open the saved track. Only the line followed by the tractor on top of the other lines for the background map. Second when you try to select a track and share it as KML nothing happens. the share button for the tracks does not work. I can only share the full map but not the tracks that are the most imports thing for me for my spraying records. With this two issues the app is useless for me."	"Very frustrating.<br> First of all, the highlight of the implement width does not show anywhere when you open the saved track.<br> Only the line followed by the tractor on top of the other lines for the background map.<br> Second when you try to select a track and share it as KML nothing happens.<br> the share button for the tracks does not work.<br> I can only share the full map but not the tracks that are the most imports thing for me for my spraying records.<br> With this two issues the ap is useless for me.	2	-4	 Very[0] frustrating[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]] First[0] of[0] all[0] the[0] highlight[0] of[0] the[0] implement[0] width[0] does[0] not[0] show[0] anywhere[0] when[0] you[0] open[0] the[0] saved[1] track[0] [[Sentence=-1,2=word max, 1-5]] Only[0] the[0] line[0] followed[0] by[0] the[0] tractor[0] on[0] top[0] of[0] the[0] other[0] lines[0] for[0] the[0] background[0] map[0] [[Sentence=-1,1=word max, 1-5]] Second[0] when[0] you[0] try[0] to[0] select[0] a[0] track[0] and[0] share[0] it[0] as[0] KML[0] nothing[0] happens[0] [[Sentence=-1,1=word max, 1-5]] the[0] share[0] button[0] for[0] the[0] tracks[0] does[0] not[0] work[0] [[Sentence=-1,1=word max, 1-5]] I[0] can[0] only[0] share[0] the[0] full[0] map[0] but[0] not[0] the[0] tracks[0] that[0] are[0] the[0] most[0] imports[0] thing[0] for[0] me[0] for[0] my[0] spraying[0] records[0] [[Sentence=-1,1=word max, 1-5]] With[0] this[0] two[0] issues[0] the[0] app/ap[0] is[0] useless[-2] for[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[2,-4 max of sentences]]]
"This app has proved very useful for spray and fertilizer applications for me. My work is involved with GPS mapping in the utility industry and I've worked with numerous GIS softwares. This app is good and I would love to see an option to add problem points to save in the field maps and/or the saved tracks to note rocks or sink holes for hay cutting. This would make it a 5 star rating! I've loaded the app for two of my hay buddies so far. Thank you!"	"This ap has proved very useful for spray and fertilizer applications for me.<br> My work is involved with GPS mapping in the utility industry and I've worked with numerous GIS softwares.<br> This ap is good and I would love to see an option to add problem points to save in the field maps and/or the saved tracks to note rocks or sink holes for hay cutting.<br> This would make it a 5 star rating!<br> I've loaded the ap for two of my hay buddies so far.<br> Thank you!	3	-2	 This[0] app/ap[0] has[0] proved[0] very[0] useful[1][1 LastWordBoosterStrength] for[0] spray[0] and[0] fertilizer[0] applications[0] for[0] me[0] [[Sentence=-1,3=word max, 1-5]] My[0] work[0] is[0] involved[0] with[0] GPS[0] mapping[0] in[0] the[0] utility[0] industry[0] and[0] I've[0] worked[0] with[0] numerous[0] GIS[0] softwares[0] [[Sentence=-1,1=word max, 1-5]] This[0] app/ap[0] is[0] good[1] and[0] I[0] would[0] love[2][-1 LastWordBoosterStrength] to[0] see[0] an[0] option[0] to[0] add[0] problem[-1] points[0] to[0] save[1] in[0] the[0] field[0] maps[0] and/or[0] the[0] saved[1] tracks[0] to[0] note[0] rocks[0] or[0] sink[0] holes[0] for[0] hay[0] cutting[0] [[Sentence=-2,2=word max, 1-5]] This[0] would[0] make[0] it[0] a[0] 5[0] star[0] rating[0] [[Sentence=-1,1=word max, 1-5]] [[changed to +2 due to '!']] I've[0] loaded[0] the[0] app/ap[0] for[0] two[0] of[0] my[0] hay[0] buddies[0] so[0] far[0] [[Sentence=-1,1=word max, 1-5]] Thank[1] you[0] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
"Been using this app a while now. Very useful. Having problem when saving track it should have a default track name like time and date which could be changed later. I've lost more than half my tracks when trying to save them."	"Been using this ap a while now.<br> Very useful.<br> Having problem when saving track it should have a default track name like time and date which could be changed later.<br> I've lost more than half my tracks when trying to save them.	3	-2	 Been[0] using[0] this[0] app/ap[0] a[0] while[0] now[0] [[Sentence=-1,1=word max, 1-5]] Very[0] useful[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]] Having[0] problem[-1] when[0] saving[0] track[0] it[0] should[0] have[0] a[0] default[-1] track[0] name[0] like[1] time[0] and[0] date[0] which[0] could[0] be[0] changed[0] later[0] [[Sentence=-2,2=word max, 1-5]] I've[0] lost[0] more[0] than[0] half[0] my[0] tracks[0] when[0] trying[0] to[0] save[1] them[0] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
"Hi, I am trying to use Your app, but have been experiencing difficulties.  When I launch the app, after about 10minutes of spraying, it starts to seriously Lag. Even when I stop, save the track, clear memory, launch the app again and continue, it lags even sooner.  I have tried using the app on: 1. Xiami Redmi Note 5 Pro, 2018, API level 28, 2. Lenovo Tab4, LENOVO Lenovo TB-X304F. API level 27 It seems to work on the xiaomi, but not on the tablet. Could it be a hardware issue?"	"Hi, I am trying to use Your ap, but have been experiencing difficulties.<br>  When I launch the ap, after about 10minutes of spraying, it starts to seriously Lag.<br> Even when I stop, save the track, clear memory, launch the ap again and continue, it lags even sooner.<br>  I have tried using the ap on: 1.<br> Xiami Redmi Note 5 Pro, 2018, API level 28, 2.<br> Lenovo Tab4, LENOVO Lenovo TB-X304F.<br> API level 27 It seems to work on the xiaomi, but not on the tablet.<br> Could it be a hardware issue?	2	-2	 Hi[0] I[0] am[0] trying[0] to[0] use[0] Your[0] app/ap[0] but[0] have[0] been[0] experiencing[0] difficulties[-1] [[Sentence=-2,1=word max, 1-5]] When[0] I[0] launch[0] the[0] app/ap[0] after[0] about[0] 10minutes[0] of[0] spraying[0] it[0] starts[0] to[0] seriously[0] Lag[0] [[Sentence=-1,1=word max, 1-5]] Even[0] when[0] I[0] stop[0] save[1] the[0] track[0] clear[0] memory[0] launch[0] the[0] app/ap[0] again[0] and[0] continue[0] it[0] lags[0] even[0] sooner[0] [[Sentence=-1,2=word max, 1-5]] I[0] have[0] tried[0] using[0] the[0] app/ap[0] on[0] 1[0] [[Sentence=-1,1=word max, 1-5]] Xiami[0] Redmi[0] Note[0] 5[0] Pro[0] 2018[0] API[0] level[0] 28[0] 2[0] [[Sentence=-1,1=word max, 1-5]] Lenovo[0] Tab4[0] LENOVO[0] Lenovo[0] TB[0] X304F[0] [[Sentence=-1,1=word max, 1-5]] API[0] level[0] 27[0] It[0] seems[0] to[0] work[0] on[0] the[0] xiaomi[0] but[0] not[0] on[0] the[0] tablet[0] [[Sentence=-1,1=word max, 1-5]] Could[0] it[0] be[0] a[0] hardware[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
"Seems very cool! I can't seem to get it to save my track. Just asks for a name, no way to hit save or go back. Have to restart the app. Anyone else having this problem?"	"Seems very cool!<br> I can't seem to get it to save my track.<br> Just asks for a name, no way to hit save or go back.<br> Have to restart the ap.<br> Anyone else having this problem?	3	-2	 Seems[0] very[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]] I[0] can't[0] seem[0] to[0] get[0] it[0] to[0] save[1] my[0] track[0] [[Sentence=-1,2=word max, 1-5]] Just[0] asks[0] for[0] a[0] name[0] no[0] way[0] to[0] hit[0] save[1] or[0] go[0] back[0] [[Sentence=-1,2=word max, 1-5]] Have[0] to[0] restart[0] the[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] Anyone[0] else[0] having[0] this[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
"The app works better than others I have tried. I like the fact that it paints your track with the boom width instead of just a line. I had some difficulty getting it to work right the first 2 times, not extremely intuitive, but I eventually got it. It is very difficult to get the Ap to let go of your phone when you want to do multitasking, like rewind your audio book. I wants to save and close the App no matter what I do. It has a little lag time from course change on tractor to adjust the track and the new course displayed. That is a bit annoying, but for the most part, I like it enough to upgrade to the paid version to reward the programmer and maybe allow the program to evolve."	"The ap works better than others I have tried.<br> I like the fact that it paints your track with the boom width instead of just a line.<br> I had some difficulty getting it to work right the first 2 times, not extremely intuitive, but I eventually got it.<br> It is very difficult to get the Ap to let go of your phone when you want to do multitasking, like rewind your audio book.<br> I wants to save and close the Ap no matter what I do.<br> It has a little lag time from course change on tractor to adjust the track and the new course displayed.<br> That is a bit annoying, but for the most part, I like it enough to upgrade to the paid version to reward the programmer and maybe allow the program to evolve.	2	-3	 The[0] app/ap[0] works[0] better[0] than[0] others[0] I[0] have[0] tried[0] [[Sentence=-1,1=word max, 1-5]] I[0] like[1] the[0] fact[0] that[0] it[0] paints[0] your[0] track[0] with[0] the[0] boom[0] width[0] instead[0] of[0] just[0] a[0] line[0] [[Sentence=-1,2=word max, 1-5]] I[0] had[0] some[0] difficulty[-1][--1 LastWordBoosterStrength] getting[0] it[0] to[0] work[0] right[0] the[0] first[0] 2[0] times[0] not[0] extremely[0] intuitive[0] but[0] I[0] eventually[0] got[0] it[0] [[Sentence=-1,1=word max, 1-5]] It[0] is[0] very[0] difficult[-1][-1 LastWordBoosterStrength] to[0] get[0] the[0] Ap[0] to[0] let[0] go[0] of[0] your[0] phone[0] when[0] you[0] want[0] to[0] do[0] multitasking[0] like[1] rewind[0] your[0] audio[0] book[0] [[Sentence=-3,2=word max, 1-5]] I[0] wants[0] to[0] save[1] and[0] close[0] the[0] App/Ap[0] no[0] matter[0] what[0] I[0] do[0] [[Sentence=-1,2=word max, 1-5]] It[0] has[0] a[0] little[0] lag[0] time[0] from[0] course[0] change[0] on[0] tractor[0] to[0] adjust[0] the[0] track[0] and[0] the[0] new[0] course[0] displayed[0] [[Sentence=-1,1=word max, 1-5]] That[0] is[0] a[0] bit[0] annoying[-2] but[0] for[0] the[0] most[0] part[0] I[0] like[1] it[0] enough[0] to[0] upgrade[0] to[0] the[0] paid[0] version[0] to[0] reward[1] the[0] programmer[0] and[0] maybe[0] allow[0] the[0] program[0] to[0] evolve[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
"Good app and just started using it today. I had a couple of issues. One field didn't highlight after I saved it, tried everything I could think of. Also when I forwarded to my brother the saved fields he said the acres of each didn't show on his end. Plan to keep using it for now."	"Good ap and just started using it today.<br> I had a couple of issues.<br> One field didn't highlight after I saved it, tried everything I could think of.<br> Also when I forwarded to my brother the saved fields he said the acres of each didn't show on his end.<br> Plan to keep using it for now.	2	-1	 Good[1] app/ap[0] and[0] just[0] started[0] using[0] it[0] today[0] [[Sentence=-1,2=word max, 1-5]] I[0] had[0] a[0] couple[0] of[0] issues[0] [[Sentence=-1,1=word max, 1-5]] One[0] field[0] didn't[0] highlight[0] after[0] I[0] saved[1] it[0] tried[0] everything[0] I[0] could[0] think[0] of[0] [[Sentence=-1,2=word max, 1-5]] Also[0] when[0] I[0] forwarded[0] to[0] my[0] brother[0] the[0] saved[1] fields[0] he[0] said[0] the[0] acres[0] of[0] each[0] didn't[0] show[0] on[0] his[0] end[0] [[Sentence=-1,2=word max, 1-5]] Plan[0] to[0] keep[0] using[0] it[0] for[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"Easy to use and save your field information. I recommend this app for all kinds of uses. Ie. Fencing, landscaping, calculating seed and fertilizer..."	"Easy to use and save your field information.<br> I recommend this ap for all kinds of uses.<br> Ie.<br> Fencing, landscaping, calculating seed and fertilizer.	2	-1	 Easy[0] to[0] use[0] and[0] save[1] your[0] field[0] information[0] [[Sentence=-1,2=word max, 1-5]] I[0] recommend[0] this[0] app/ap[0] for[0] all[0] kinds[0] of[0] uses[0] [[Sentence=-1,1=word max, 1-5]] Ie[0] [[Sentence=-1,1=word max, 1-5]] Fencing[0] landscaping[0] calculating[0] seed[0] and[0] fertilizer[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"Great app I work for a farmer that has around 35000 acres and this is a great app to have to map and save fields so you know where they are. Really handy"	"Great ap I work for a farmer that has around 3500 acres and this is a great ap to have to map and save fields so you know where they are.<br> Really handy"	3	-1	 Great[2] app/ap[0] I[0] work[0] for[0] a[0] farmer[0] that[0] has[0] around[0] 35000/3500[0] acres[0] and[0] this[0] is[0] a[0] great[2] app/ap[0] to[0] have[0] to[0] map[0] and[0] save[1] fields[0] so[0] you[0] know[0] where[0] they[0] are[0] [[Sentence=-1,3=word max, 1-5]] Really[0] handy[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
"Excellent app. Still learning more as I go has lots of good features. Has good accuracy with phone gps in a Motorola but will buy an external gps soon to improve accuracy a little. Works amazing spraying a spreading pasture and hay fields always within the 1 feet as I use for my overlap. If you have had your phones gps turned off turn it on for a few minutes before begining to get a good results."	"Excellent ap.<br> Still learning more as I go has lots of good features.<br> Has good accuracy with phone gps in a Motorola but will buy an external gps soon to improve accuracy a little.<br> Works amazing spraying a spreading pasture and hay fields always within the 1 feet as I use for my overlap.<br> If you have had your phones gps turned off turn it on for a few minutes before begining to get a good results.	4	-1	 Excellent[3] app/ap[0] [[Sentence=-1,4=word max, 1-5]] Still[0] learning[0] more[0] as[0] I[0] go[0] has[0] lots[0] of[0] good[1] features[0] [[Sentence=-1,2=word max, 1-5]] Has[0] good[1] accuracy[0] with[0] phone[0] gps[0] in[0] a[0] Motorola[0] but[0] will[0] buy[0] an[0] external[0] gps[0] soon[0] to[0] improve[1] accuracy[0] a[0] little[0] [[Sentence=-1,2=word max, 1-5]] Works[0] amazing[2] spraying[0] a[0] spreading[0] pasture[0] and[0] hay[0] fields[0] always[0] within[0] the[0] 1[0] feet[0] as[0] I[0] use[0] for[0] my[0] overlap[0] [[Sentence=-1,3=word max, 1-5]] If[0] you[0] have[0] had[0] your[0] phones[0] gps[0] turned[0] off[0] turn[0] it[0] on[0] for[0] a[0] few[0] minutes[0] before[0] begining[0] to[0] get[0] a[0] good[1] results[0] [[Sentence=-1,2=word max, 1-5]][[[4,-1 max of sentences]]]
"all right, after using it for a bit, I was wondering why it didn't match any of my measuring wheel calcs that i walked around the fields with. it understated surface area by over 15% in some fields, up to 30% in the steepest one I have. Reason is, It doesn't do a 3d calculation of surface area that includes elevations! So basically just a rough calculation of flat surface areas. Makes a huge diff when spraying/planting... Maybe incorporate in next update? Thanks"	"all right, after using it for a bit, I was wondering why it didn't match any of my measuring wheel calcs that i walked around the fields with.<br> it understated surface area by over 15% in some fields, up to 30% in the steepest one I have.<br> Reason is, It doesn't do a 3d calculation of surface area that includes elevations!<br> So basically just a rough calculation of flat surface areas.<br> Makes a huge diff when spraying/planting.<br> Maybe incorporate in next update?<br> Thanks"	2	-2	 all[0] right[0] after[0] using[0] it[0] for[0] a[0] bit[0] I[0] was[0] wondering[0] why[0] it[0] didn't[0] match[0] any[0] of[0] my[0] measuring[0] wheel[0] calcs[0] that[0] i[0] walked[0] around[0] the[0] fields[0] with[0] [[Sentence=-1,1=word max, 1-5]] it[0] understated[0] surface[0] area[0] by[0] over[0] 15%[0] in[0] some[0] fields[0] up[0] to[0] 30%[0] in[0] the[0] steepest[0] one[0] I[0] have[0] [[Sentence=-1,1=word max, 1-5]] Reason[0] is[0] It[0] doesn't[0] do[0] a[0] 3d[0] calculation[0] of[0] surface[0] area[0] that[0] includes[0] elevations[0] [[Sentence=-1,1=word max, 1-5]] [[changed to +2 due to '!']] So[0] basically[0] just[0] a[0] rough[-1] calculation[0] of[0] flat[0] surface[0] areas[0] [[Sentence=-2,1=word max, 1-5]] Makes[0] a[0] huge[0] diff[0] when[0] spraying/planting[0] [[Sentence=-1,1=word max, 1-5]] Maybe[0] incorporate[0] in[0] next[0] update[0] [[Sentence=-1,1=word max, 1-5]] Thanks[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
"Potentially a useful app for field spraying. Annoying how app always opens with map focused on some irrelevant location hundred of KMs away.  Needs a third option \"A,B point   None\" for those of us who don't need  lightbar guidance & just want to \"display sprayed area\" on the field. Unfortunately it will not connect to an external GPS on my Samsung S9  running Android v9. App runs, but will not stay connected to Bad ELF BT GPS. Not obvious in the main interface which GPS is in use, therefore first you know of it dropping external GPS is when the steering commands go all weird. Be great if u can fix compatibility with late model Samsung phone and external GPS's."	"Potentially a useful ap for field spraying.<br> Annoying how ap always opens with map focused on some irrelevant location hundred of KMs away.<br>  Needs a third option \"A,B point   None\" for those of us who don't need  lightbar guidance & just want to \"display sprayed area\" on the field.<br> Unfortunately it will not connect to an external GPS on my Samsung S9  running Android v9.<br> Ap runs, but will not stay connected to Bad ELF BT GPS.<br> Not obvious in the main interface which GPS is in use, therefore first you know of it dropping external GPS is when the steering commands go all weird.<br> Be great if you can fix compatibility with late model Samsung phone and external GPS's.	3	-3	 Potentially[0] a[0] useful[1] app/ap[0] for[0] field[0] spraying[0] [[Sentence=-1,2=word max, 1-5]] Annoying[-2] how[0] app/ap[0] always[0] opens[0] with[0] map[0] focused[0] on[0] some[0] irrelevant[0] location[0] hundred[0] of[0] KMs[0] away[0] [[Sentence=-3,1=word max, 1-5]] Needs[0] a[0] third[0] option[0] \[0] A[0] B[0] point[0] None\[0] for[0] those[0] of[0] us[0] who[0] don't[0] need[0] lightbar[0] guidance[0] &[0] just[0] want[0] to[0] \[0] display[0] sprayed[0] area\[0] on[0] the[0] field[0] [[Sentence=-1,1=word max, 1-5]] Unfortunately[-1] it[0] will[0] not[0] connect[0] to[0] an[0] external[0] GPS[0] on[0] my[0] Samsung[0] S9[0] running[0] Android[0] v9[0] [[Sentence=-2,1=word max, 1-5]] App/Ap[0] runs[0] but[0] will[0] not[0] stay[0] connected[0] to[0] Bad[-1] ELF[0] BT[0] GPS[0] [[Sentence=-2,1=word max, 1-5]] Not[0] obvious[0] in[0] the[0] main[0] interface[0] which[0] GPS[0] is[0] in[0] use[0] therefore[0] first[0] you[0] know[0] of[0] it[0] dropping[0] external[0] GPS[0] is[0] when[0] the[0] steering[0] commands[0] go[0] all[0] weird[-1] [[Sentence=-2,1=word max, 1-5]] Be[0] great[2] if[0] u[0] can[0] fix[0] compatibility[0] with[0] late[0] model[0] Samsung[0] phone[0] and[0] external[0] GPS's[0] [[Sentence=-1,3=word max, 1-5]][[[3,-3 max of sentences]]]
"This app does a great job and is very useful for my field spraying. My only doing on it is I wish the tutorial was more descriptive or there was a really good video on how to set it up. I stumbled through it but figured it out. They recommend the Garmin GLO GPS bluetooth to use with it. Yes - it's worth it!"	"This ap does a great job and is very useful for my field spraying.<br> My only doing on it is I wish the tutorial was more descriptive or there was a really good video on how to set it up.<br> I stumbled through it but figured it out.<br> They recommend the Garmin GLO GPS bluetooth to use with it.<br> Yes - it's worth it!	3	-1	 This[0] app/ap[0] does[0] a[0] great[2] job[0] and[0] is[0] very[0] useful[1][1 LastWordBoosterStrength] for[0] my[0] field[0] spraying[0] [[Sentence=-1,3=word max, 1-5]] My[0] only[0] doing[0] on[0] it[0] is[0] I[0] wish[0] the[0] tutorial[0] was[0] more[0] descriptive[0] or[0] there[0] was[0] a[0] really[0] good[1][1 LastWordBoosterStrength] video[0] on[0] how[0] to[0] set[0] it[0] up[0] [[Sentence=-1,3=word max, 1-5]] I[0] stumbled[0] through[0] it[0] but[0] figured[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]] They[0] recommend[0] the[0] Garmin[0] GLO[0] GPS[0] bluetooth[0] to[0] use[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]] Yes[0] it's[0] worth[0] it[0] [[Sentence=-1,1=word max, 1-5]] [[changed to +2 due to '!']][[[3,-1 max of sentences]]]
"V useful Great simple app to use when try to fertilise fields and spray without a exspesive guidance system"	"V useful Great simple ap to use when try to fertilise fields and spray without a exspesive guidance system"	3	-1	 V[0] useful[1] Great[2] simple[0] app/ap[0] to[0] use[0] when[0] try[0] to[0] fertilise[0] fields[0] and[0] spray[0] without[0] a[0] exspesive[0] guidance[0] system[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"Works great for broadcast planting and spraying Look forward to future development. Would love to see basic field mapping feature added to this app."	"Works great for broadcast planting and spraying Look forward to future development.<br> Would love to see basic field mapping feature added to this ap.	3	-1	 Works[0] great[2] for[0] broadcast[0] planting[0] and[0] spraying[0] Look[0] forward[0] to[0] future[0] development[0] [[Sentence=-1,3=word max, 1-5]] Would[0] love[2][-1 LastWordBoosterStrength] to[0] see[0] basic[0] field[0] mapping[0] feature[0] added[0] to[0] this[0] app/ap[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
