doc_id,sentence_id,token_id,token,lemma,pos
text1,1,3,prettiest,prettiest,ADJ
text1,1,10,prettier,pretty,ADJ
text1,1,14,matters,matter,VERB
text1,2,1,Good,good,ADJ
text1,2,2,job,job,NOUN
text1,2,3,prefer,prefer,NOUN
text1,2,4,function,function,NOUN
text1,2,6,day,day,NOUN
text2,1,1,Good,good,ADJ
text3,1,5,plant,plant,NOUN
text3,1,6,owner,owner,NOUN
text4,1,4,sign,sign,VERB
text6,1,2,agriculture,agriculture,NOUN
text7,1,1,Take,take,VERB
text7,1,3,stars,star,NOUN
text7,1,6,deserve,deserve,VERB
text8,1,2,run,run,VERB
text8,1,5,phone,phone,NOUN
text9,1,5,boon,boon,NOUN
text10,1,1,helpful,helpful,ADJ
text12,1,1,Usefull,usefull,ADJ
text13,1,4,data,datum,NOUN
text14,1,1,Excellent,excellent,ADJ
text14,1,2,response,response,NOUN
text15,1,1,excellent,excellent,ADJ
text16,1,1,Good,good,ADJ
text19,1,4,excellent,excellent,ADJ
text19,2,5,diagnosis,diagnosis,NOUN
text19,2,7,proper,proper,ADJ
text19,2,8,guidelines,guideline,NOUN
text19,2,10,treatment,treatment,NOUN
text20,1,1,Wonderful,wonderful,ADJ
text21,1,2,awesome,awesome,ADJ
text22,1,1,Thank,thank,VERB
text23,1,1,Nice,nice,ADJ
text24,1,3,pop,pop,NOUN
text24,1,4,pop,pop,NOUN
text24,1,5,pop,pop,NOUN
text26,1,1,Great,great,ADJ
text28,1,1,😙,😙,NOUN
text29,1,1,Great,great,ADJ
text30,2,5,purchase,purchase,VERB
text30,2,8,products,product,NOUN
text30,2,17,original,original,ADJ
text30,2,18,product,product,NOUN
text30,2,20,wide,wide,ADJ
text30,2,21,variety,variety,NOUN
text30,3,2,yield,yield,NOUN
text30,3,4,increased,increase,VERB
text30,3,6,started,start,VERB
text30,3,12,suggest,suggest,VERB
text31,1,5,application,application,NOUN
text31,1,10,cluster,cluster,NOUN
text31,1,11,shifted,shift,VERB
text31,1,14,application,application,NOUN
text31,1,20,wonderful,wonderful,ADJ
text31,1,21,experience,experience,NOUN
text31,2,1,Agronomy,agronomy,ADJ
text31,2,2,support,support,NOUN
text31,2,3,provided,provide,VERB
text31,2,7,top,top,ADJ
text31,2,8,notch,notch,NOUN
text31,3,3,received,receive,VERB
text31,3,5,quality,quality,NOUN
text31,3,6,seeds,seed,NOUN
text31,3,8,pesticides,pesticide,NOUN
text31,3,12,time,time,NOUN
text31,3,15,door,door,NOUN
text31,3,16,step,step,NOUN
text31,3,18,farms,farm,NOUN
text31,4,5,feature,feature,NOUN
text31,4,7,application,application,NOUN
text31,5,4,simple,simple,ADJ
text31,5,5,miscall,miscall,NOUN
text31,5,8,helpline,helpline,ADJ
text31,5,12,certified,certify,VERB
text31,5,13,agri,agri,NOUN
text31,5,14,expert,expert,NOUN
text31,5,16,call,call,VERB
text32,1,10,providing,provide,VERB
text32,1,12,information,information,NOUN
text32,1,14,sowing,sow,VERB
text32,1,16,harvesting,harvesting,NOUN
text32,1,18,crops,crop,NOUN
text33,1,5,friendly,friendly,ADJ
text33,1,8,easy,easy,ADJ
text33,1,10,understand,understand,VERB
text33,2,1,Thanks,thank,NOUN
text33,2,4,team,team,NOUN
text33,2,8,product,product,NOUN
text34,1,2,'m,be,VERB
text34,1,4,glad,glad,ADJ
text34,1,7,found,find,VERB
text34,2,5,easy,easy,ADJ
text34,3,1,Kudos,kudo,NOUN
text34,3,4,team,team,NOUN
text36,1,2,bad,bad,ADJ
text36,1,3,experience,experience,NOUN
text36,1,6,1st,1st,ADJ
text36,1,9,items,item,NOUN
text36,1,12,costly,costly,ADJ
text36,1,15,market,market,NOUN
text36,1,17,items,item,NOUN
text36,1,20,expire,expire,VERB
text36,1,22,items,item,NOUN
text36,1,25,selling,sell,VERB
text37,1,2,stop,stop,VERB
text37,1,6,related,relate,VERB
text37,1,8,agriculture,agriculture,NOUN
text37,1,9,products,product,NOUN
text37,1,13,'s,be,VERB
text37,1,15,informative,informative,ADJ
text38,1,2,user,user,NOUN
text38,1,3,friendly,friendly,ADJ
text38,1,10,avaliable,avaliable,ADJ
text39,1,12,packed,pack,VERB
text39,1,14,"5,7","5,7",NOUN
text39,1,15,days,day,NOUN
text39,1,18,time,time,NOUN
text39,1,22,login,login,NOUN
text39,1,31,rating,rating,NOUN
text39,1,32,apps,app,NOUN
text40,1,5,easy,easy,ADJ
text40,1,9,helpful,helpful,ADJ
text40,1,13,satisfied,satisfy,VERB
text40,1,14,experience,experience,NOUN
text41,1,1,Easy,easy,ADJ
text41,1,3,understand,understand,VERB
text41,1,7,language,language,NOUN
text41,1,8,preference,preference,NOUN
text42,1,4,experience,experience,NOUN
text43,1,1,Dear,dear,ADJ
text43,1,2,team,team,NOUN
text43,1,5,Good,good,ADJ
text43,1,6,quality,quality,NOUN
