doc_id,sentence_id,token_id,token,lemma,pos
text1,1,3,facing,face,VERB
text1,1,7,transfer,transfer,NOUN
text1,1,9,data,datum,NOUN
text1,1,11,mobile,mobile,NOUN
text1,1,13,laptop,laptop,NOUN
text1,2,4,save,save,VERB
text1,2,6,data,datum,NOUN
text1,2,14,plant,plant,NOUN
text1,2,16,genotype,genotype,NOUN
text1,3,4,solution,solution,NOUN
text1,3,7,share,share,VERB
text1,3,8,experience,experience,NOUN
text1,3,14,appreciated,appreciate,VERB
text1,4,1,Thx,thx,NOUN
text2,1,2,inaccurate,inaccurate,ADJ
text2,2,6,training,train,VERB
text2,2,8,crews,crew,NOUN
text2,2,9,eye,eye,NOUN
text2,2,11,estimating,estimate,VERB
text2,3,8,coverage,coverage,NOUN
text2,3,11,%,%,NOUN
text2,4,5,low,low,ADJ
text2,4,6,density,density,NOUN
text2,4,9,guess,guess,VERB
text2,4,11,low,low,ADJ
text2,4,12,density,density,NOUN
text2,4,15,hard,hard,ADJ
text2,5,7,replacement,replacement,NOUN
text2,6,5,pulled,pull,VERB
text3,1,4,rate,rate,VERB
text3,1,10,login,login,VERB
text4,1,1,Simple,simple,ADJ
text4,1,5,appears,appear,VERB
text4,1,9,accurate,accurate,ADJ
text5,1,2,CAN'T,can't,VERB
text5,1,3,MAKE,make,VERB
text5,1,5,ACCOUNT,account,NOUN
text5,2,2,MADE,make,VERB
text5,2,3,IT,it,NOUN
text5,2,7,DIFFERENT,different,ADJ
text5,2,8,DATA,data,NOUN
text5,2,10,TELL,tell,VERB
text5,2,12,USER,USER,NOUN
text5,2,16,BE,be,VERB
text6,1,5,helped,help,VERB
text6,1,10,final,final,ADJ
text6,1,12,project,project,NOUN
text6,2,1,Thank,thank,VERB
text6,2,3,developers,developer,NOUN
text7,1,1,excellent,excellent,ADJ
text7,1,5,field,field,NOUN
text8,1,2,found,find,VERB
text8,1,4,mobile,mobile,ADJ
text8,1,5,application,application,NOUN
text8,1,10,researches,research,NOUN
text8,1,12,water,water,NOUN
text8,1,13,productivity,productivity,NOUN
text8,1,16,model,model,NOUN
text9,1,5,helpful,helpful,ADJ
text9,1,6,tool,tool,NOUN
text9,1,8,assessment,assessment,NOUN
text9,1,10,field,field,NOUN
text9,1,11,trials,trial,NOUN
text9,1,14,effects,effect,NOUN
