doc_id,sentence_id,token_id,token,lemma,pos
text1,1,6,gateway,gateway,NOUN
text1,1,8,advertising,advertising,NOUN
text1,2,3,useless,useless,ADJ
text1,2,9,link,link,VERB
text1,2,13,facebook,facebook,NOUN
text1,2,14,page,page,NOUN
text1,2,17,website,website,NOUN
text1,2,20,useless,useless,ADJ
text1,2,21,websites,website,NOUN
text2,1,1,Nice,nice,ADJ
text2,1,5,information,information,NOUN
text2,1,8,variety,variety,NOUN
text2,1,10,agri,agri,ADJ
text2,1,11,products,product,NOUN
text2,1,12,cultivation,cultivation,NOUN
text3,1,2,brows,brow,VERB
text3,1,8,agri,agri,ADJ
text3,1,9,news,news,NOUN
text3,2,6,disappointment,disappointment,NOUN
text3,3,2,news,news,NOUN
text3,3,7,improved,improve,VERB
text3,4,1,Thanks,thank,NOUN
text3,4,3,lot,lot,NOUN
text4,1,2,मंडी,मंडी,NOUN
text4,1,3,भाव,भाव,NOUN
text4,1,4,ऐप,ऐप,ADJ
text4,1,7,nice,nice,ADJ
text4,1,12,helpful,helpful,ADJ
text4,1,14,cultivation,cultivation,NOUN
text4,1,17,crops,crop,NOUN
text5,1,2,changali,changali,ADJ
text5,1,3,service,service,NOUN
text5,1,4,ahe,ahe,NOUN
text5,1,13,information,information,NOUN
text5,1,14,runs,run,NOUN
text5,1,16,smooth,smooth,VERB
text5,1,19,found,find,VERB
text5,1,20,loved,love,VERB
text6,1,1,Give,give,VERB
text6,1,3,stars,star,NOUN
text6,1,5,edit,edit,VERB
text6,1,7,review,review,NOUN
text6,1,9,keywords,keyword,NOUN
text6,1,12,Agriculture,agriculture,NOUN
text6,1,17,sentence,sentence,NOUN
text6,1,19,ssss,ssss,VERB
text6,1,22,include,include,VERB
text6,1,23,account,account,NOUN
text6,1,26,stars,star,NOUN
text6,1,28,review,review,NOUN
text6,1,29,Keywords,keyword,NOUN
text6,1,32,copied,copy,VERB
text6,2,1,Write,write,VERB
text6,2,5,words,word,NOUN
text6,3,1,agriculture,agriculture,NOUN
text7,1,2,Nice,nice,ADJ
text7,1,5,giving,give,VERB
text7,1,7,information,information,NOUN
text7,1,10,crops,crop,NOUN
text8,1,2,update,update,NOUN
text8,2,1,Amazing,amazing,ADJ
text8,2,2,agriculture,agriculture,NOUN
text8,3,1,Weather,weather,NOUN
text8,3,2,prediction,prediction,NOUN
text8,3,4,accurate,accurate,ADJ
text8,3,6,crop,crop,NOUN
text8,3,7,advisory,advisory,NOUN
text9,1,1,Keywords,keyword,NOUN
text9,1,4,copied,copy,VERB
text9,2,1,Write,write,VERB
text9,2,5,words,word,NOUN
text9,2,8,own!!!पीक,own!!!पीक,NOUN
text9,4,3,cepat,cepat,NOUN
text10,1,3,Lovely,lovely,ADJ
text10,1,4,game,game,NOUN
text10,2,3,dbjn,dbjn,NOUN
text10,2,5,🔥,🔥,VERB
text10,2,9,enjoying,enjoy,VERB
text10,2,10,Cool,cool,ADJ
text10,2,11,level,level,NOUN
text10,2,12,game,game,NOUN
text10,3,4,level,level,NOUN
text10,4,3,annoying,annoying,ADJ
text10,4,7,game,game,NOUN
text10,4,11,rest,rest,NOUN
text10,4,12,team,team,NOUN
text10,4,17,weapons,weapon,NOUN
text10,4,20,left,left,ADJ
text10,4,21,team,team,NOUN
text10,5,6,feedback,feedback,NOUN
text10,5,10,game,game,NOUN
text10,5,12,freezes,freeze,VERB
text10,5,17,games,game,NOUN
text10,5,19,play,play,VERB
text10,6,2,lost,lose,VERB
text10,6,4,lot,lot,NOUN
text10,6,10,issue,issue,NOUN
text10,6,17,wrong,wrong,ADJ
text10,6,20,internet,internet,NOUN
text10,6,21,connection,connection,NOUN
text10,7,2,game,game,NOUN
text10,7,4,freezing,freeze,VERB
text10,8,4,bug,bug,NOUN
text12,1,4,informative,informative,ADJ
