doc_id,sentence_id,token_id,token,lemma,pos
text1,1,1,Crashes,crash,NOUN
text1,1,6,updated,update,VERB
text1,1,15,version,version,NOUN
text2,1,3,doubt,doubt,NOUN
text2,2,9,haul,haul,NOUN
text2,2,13,short,short,ADJ
text2,2,18,brother,brother,NOUN
text2,2,19,"Richard,$$$$$","richard,$$$$$",NOUN
text3,1,1,Nice,nice,ADJ
text3,2,5,content,content,NOUN
text3,2,8,informative,informative,ADJ
text4,1,7,agricultural,agricultural,ADJ
text4,1,8,products,product,NOUN
text4,1,10,staff,staff,NOUN
text4,1,11,service,service,NOUN
text4,1,15,dealing,deal,VERB
text4,1,18,customers,customer,NOUN
text4,1,20,excellent,excellent,ADJ
text4,1,22,delivery,delivery,NOUN
text4,1,25,products,product,NOUN
text4,1,28,thankyou,thankyou,NOUN
text6,1,1,Worst,bad,ADJ
text6,1,2,follow,follow,VERB
text6,1,7,inventory,inventory,NOUN
text6,2,3,products,product,NOUN
text6,2,11,wait,wait,NOUN
text6,3,1,Prices,price,NOUN
text6,3,5,comparing,compare,VERB
text6,3,7,sites,site,NOUN
text6,4,2,team,team,NOUN
text6,5,8,attractive,attractive,ADJ
text6,6,3,situation,situation,NOUN
text6,6,7,product,product,NOUN
text6,6,10,understable,understable,ADJ
text6,6,16,product,product,NOUN
text6,7,1,Waste,waste,NOUN
text6,7,3,money,money,NOUN
text6,8,7,stock,stock,NOUN
text6,8,9,hand,hand,NOUN
text6,8,11,avaible)no,avaible)no,NOUN
text6,8,12,notifications,notification,NOUN
text6,9,1,Toll,toll,NOUN
text6,9,2,free,free,ADJ
text7,1,1,Good,good,ADJ
text7,1,2,products,product,NOUN
text7,1,5,service,service,NOUN
text8,1,2,products,product,NOUN
text8,1,4,services,service,NOUN
text9,1,2,products,product,NOUN
text10,1,4,easy,easy,ADJ
text10,2,4,wide,wide,ADJ
text10,2,5,selection,selection,NOUN
text10,2,8,products,product,NOUN
text10,2,11,offers,offer,NOUN
text10,2,12,running,run,VERB
text10,2,14,time,time,NOUN
text10,2,16,time,time,NOUN
text10,3,3,loads,load,NOUN
text10,3,8,responsive,responsive,ADJ
text10,4,2,stay,stay,VERB
text10,4,7,deliver,deliver,VERB
text10,4,9,reasonable,reasonable,ADJ
text10,4,10,time,time,NOUN
text10,5,1,Thanks,thank,NOUN
text11,1,1,Good,good,ADJ
text11,1,2,products,product,NOUN
text11,1,4,services,service,NOUN
text12,1,1,Dealing,deal,VERB
text12,1,4,product,product,NOUN
text13,1,1,Good,good,ADJ
text13,1,3,excellent,excellent,ADJ
text14,1,5,helpful,helpful,ADJ
text14,1,22,solved,solve,VERB
text15,1,4,happy,happy,ADJ
text15,1,13,easy,easy,ADJ
text15,1,15,understand,understand,VERB
text15,1,18,select,select,VERB
text15,1,20,language,language,NOUN
text15,1,23,comfortable,comfortable,ADJ
text15,1,30,products,product,NOUN
text15,1,32,images,image,NOUN
text15,1,34,makes,make,VERB
text15,1,35,easy,easy,ADJ
text15,1,38,user,user,NOUN
text15,1,40,understand,understand,VERB
text16,1,5,Big,big,ADJ
text16,1,7,customer,customer,NOUN
text16,2,5,bad,bad,ADJ
text16,2,6,experience,experience,NOUN
text16,2,9,delivery,delivery,NOUN
text16,2,11,items,item,NOUN
text16,3,2,spite,spite,NOUN
text16,3,4,repeated,repeat,VERB
text16,3,5,calls,call,NOUN
text16,3,10,cooperative,cooperative,ADJ
text16,4,2,suggestion,suggestion,NOUN
text16,4,4,fellow,fellow,ADJ
text16,4,8,cautious,cautious,ADJ
text17,1,4,helpful,helpful,ADJ
text18,1,6,actual,actual,ADJ
text18,1,7,inventory,inventory,NOUN
text18,1,12,prepaid,prepaid,ADJ
text18,2,1,Shipments,shipment,NOUN
text18,2,3,ages,age,NOUN
text18,2,5,pack,pack,VERB
text18,2,7,deliver,deliver,VERB
text18,2,11,contacting,contact,VERB
text18,2,12,customer,customer,NOUN
text18,2,13,support,support,NOUN
text18,2,15,shipment,shipment,NOUN
text18,2,17,pending,pende,VERB
text18,3,3,genuine,genuine,ADJ
text18,3,4,organisation,organisation,NOUN
text18,3,6,feel,feel,VERB
text21,1,4,Usefull,usefull,ADJ
text21,2,5,information,information,NOUN
text21,2,9,required,require,VERB
text21,3,3,Crops,crop,NOUN
text21,3,6,information,information,NOUN
text21,4,4,Simple,simple,ADJ
text22,1,1,Good,good,ADJ
text22,1,8,crop,crop,NOUN
text22,1,9,related,relate,VERB
text22,1,10,information,information,NOUN
text22,1,12,️,️,NOUN
text23,1,1,Third,third,ADJ
text23,1,2,class,class,NOUN
text23,2,3,repeated,repeat,VERB
text23,2,4,complaints,complaint,NOUN
text23,2,7,team,team,NOUN
text23,2,9,solve,solve,VERB
text23,2,11,issue,issue,NOUN
text23,3,3,install,install,NOUN
text23,3,6,day,day,NOUN
text23,3,7,view,view,NOUN
text23,3,8,account,account,NOUN
text23,3,9,section,section,NOUN
text23,4,3,guys,guy,NOUN
text23,4,4,solve,solve,VERB
text23,4,6,issue,issue,NOUN
text24,1,1,Easy,easy,ADJ
text24,2,4,happy,happy,ADJ
text25,1,2,articles,article,NOUN
text25,1,7,informative,informative,ADJ
text26,1,1,Best,good,ADJ
text26,1,3,youth,youth,NOUN
text26,1,5,😍,😍,NOUN
text26,1,6,😍,😍,NOUN
text26,2,1,😍,😍,NOUN
text27,1,1,Good,good,ADJ
text28,1,3,prepaid,prepaid,VERB
text28,1,4,order.they,order.they,NOUN
text28,1,7,check,check,VERB
text28,1,10,product,product,NOUN
text28,1,13,stock,stock,NOUN
text28,1,16,payment,payment,NOUN
text28,2,3,upl,upl,ADJ
text28,2,4,avancer,avancer,NOUN
text28,2,5,glow,glow,NOUN
text28,2,8,shown,show,VERB
text28,2,10,stock,stock,NOUN
text28,2,13,payment,payment,NOUN
text28,2,17,information.so,information.so,NOUN
text28,2,19,contacted,contact,VERB
text28,2,21,customer,customer,NOUN
text28,2,22,care,care,NOUN
text28,2,25,told,tell,VERB
text28,2,29,product,product,NOUN
text28,2,36,days,day,NOUN
text28,2,39,refund,refund,NOUN
text28,3,6,cash,cash,NOUN
text28,3,8,delivery.still,delivery.still,NOUN
text28,3,15,days,day,NOUN
text28,3,17,delivery,delivery,NOUN
text31,1,2,helpful,helpful,ADJ
text31,1,3,happy,happy,ADJ
text32,1,4,user,user,NOUN
text32,1,5,friendly,friendly,ADJ
text33,1,2,poor,poor,ADJ
text33,1,3,customer,customer,NOUN
text33,1,4,care,care,NOUN
text33,1,5,services,service,NOUN
text33,1,7,executive,executive,NOUN
text33,1,9,call,call,NOUN
text33,1,13,time,time,NOUN
text33,1,16,call,call,NOUN
text33,2,2,payment,payment,NOUN
text33,2,6,confirmation,confirmation,NOUN
text33,2,7,repot,repot,NOUN
text33,2,11,delivere,delivere,VERB
text33,2,15,payment,payment,NOUN
text33,2,16,confirmation,confirmation,NOUN
text33,3,4,recommended,recommend,VERB
text33,3,6,load,load,VERB
text34,1,4,happy,happy,ADJ
text34,1,10,'s,be,VERB
text34,1,11,services,service,NOUN
text34,2,4,quality,quality,NOUN
text34,2,6,genuine,genuine,ADJ
text34,2,7,products,product,NOUN
text34,2,9,reasonable,reasonable,ADJ
text34,2,10,price,price,NOUN
text34,3,7,products,product,NOUN
text34,3,9,fertilizer,fertilizer,NOUN
text34,3,11,pesticides,pesticide,NOUN
text34,4,1,Thank,thank,VERB
text34,4,5,team,team,NOUN
text35,1,5,simple,simple,ADJ
text35,1,12,fetching,fetch,VERB
text35,1,13,products,product,NOUN
text35,1,19,reasonable,reasonable,ADJ
text35,1,20,price,price,NOUN
text35,1,22,quality,quality,NOUN
text35,2,5,negative,negative,ADJ
text35,2,6,comments,comment,NOUN
text35,2,11,practiced,practice,VERB
text35,2,12,proper,proper,ADJ
text35,3,2,experience,experience,NOUN
text35,3,8,product,product,NOUN
text35,3,13,unavailable,unavailable,ADJ
text35,4,2,called,call,VERB
text35,5,1,T,t,NOUN
text35,5,7,provide,provide,VERB
text35,5,8,quality,quality,NOUN
text35,5,10,accurate,accurate,ADJ
text35,5,11,service,service,NOUN
text35,5,17,requirements,requirement,NOUN
text35,6,1,Thanks,thank,NOUN
text36,1,8,difficult,difficult,ADJ
text37,1,7,friendly,friendly,ADJ
text37,2,3,supported,support,VERB
text37,2,6,select,select,VERB
text37,2,8,variety,variety,NOUN
text37,2,11,location,location,NOUN
text37,3,1,Great,great,ADJ
text37,4,1,Keep,keep,VERB
text37,4,2,supporting,support,VERB
text37,4,6,services,service,NOUN
text38,1,1,Worst,bad,ADJ
text38,1,5,poor,poor,ADJ
text38,1,6,service,service,NOUN
text38,2,11,product,product,NOUN
text38,3,1,Customer,customer,NOUN
text38,3,2,care,care,NOUN
text38,4,1,Tried,try,VERB
text38,4,7,response,response,NOUN
text39,1,4,friendly,friendly,ADJ
text39,2,4,supportive,supportive,ADJ
text39,2,6,choosing,choose,VERB
text39,2,7,location,location,NOUN
text39,2,8,related,relate,VERB
text39,2,9,crops,crop,NOUN
text39,2,11,responds,respond,VERB
text39,2,17,queries,query,NOUN
text39,3,1,Thank,thank,VERB
text40,1,1,Wide,wide,ADJ
text40,1,2,varity,varity,NOUN
text40,1,4,product,product,NOUN
text40,1,9,quality,quality,NOUN
text40,2,2,services,service,NOUN
text40,3,2,recomend,recomend,VERB
text40,3,7,intrested,intreste,VERB
text40,3,9,buying,buy,VERB
text40,3,10,agri,agri,ADJ
text40,3,11,product,product,NOUN
text40,4,1,Good,good,ADJ
text40,5,1,Keep,keep,VERB
text41,1,6,team,team,NOUN
text41,2,5,resourceful,resourceful,ADJ
text41,2,9,agriculturists,agriculturist,NOUN
text41,2,20,fields,field,NOUN
text41,3,2,handy,handy,ADJ
text41,3,7,varieties,variety,NOUN
text41,3,9,insecticides,insecticide,NOUN
text41,3,11,pesticides,pesticide,NOUN
text41,3,15,excellent,excellent,ADJ
text41,3,16,customer,customer,NOUN
text41,3,17,support,support,VERB
text41,4,2,payment,payment,NOUN
text41,4,3,options,option,NOUN
text41,4,7,pay,pay,NOUN
text42,1,7,experience,experience,NOUN
text42,1,11,agriculture,agriculture,NOUN
text42,2,1,Forums,forum,NOUN
text42,2,2,provided,provide,VERB
text42,2,4,informative,informative,ADJ
text42,2,6,resourceful,resourceful,ADJ
text42,3,3,agronomists,agronomist,NOUN
text42,3,5,sanjeey,sanjeey,ADJ
text42,3,6,sir,sir,NOUN
text42,3,7,advices,advice,NOUN
text42,3,9,suggestions,suggestion,NOUN
text42,3,12,usage,usage,NOUN
text42,3,14,fertilizers,fertilizer,NOUN
text42,3,16,pesticides,pesticide,NOUN
text42,3,19,crops,crop,NOUN
text43,1,4,run,run,VERB
text43,1,7,bugs,bug,NOUN
text43,2,4,cancel,cancel,VERB
text43,2,11,option,option,NOUN
text43,3,5,gon,gon,VERB
text43,3,7,accept,accept,VERB
text43,3,9,delivery,delivery,NOUN
text44,2,6,guys,guy,NOUN
text44,3,1,Best,good,ADJ
text44,4,1,Multi,multi,ADJ
text44,4,2,languages,language,NOUN
text44,4,5,helpful,helpful,ADJ
text44,4,9,happy,happy,ADJ
text44,5,1,Hope,hope,VERB
text44,5,4,create,create,VERB
text44,5,5,wonders,wonder,NOUN
text44,7,2,Wish,wish,VERB
text44,7,4,language,language,NOUN
text44,8,1,Plz,plz,VERB
text44,8,2,add,add,VERB
text44,8,7,helpful,helpful,ADJ
text44,8,8,guys,guy,NOUN
text45,1,4,impressed,impressed,ADJ
text45,2,5,crop,crop,NOUN
text45,2,6,doctor,doctor,NOUN
text45,2,7,feature,feature,VERB
text45,2,11,convenient,convenient,ADJ
text45,2,13,easy,easy,ADJ
text46,1,8,user,user,NOUN
text46,1,9,friendly,friendly,ADJ
text46,1,12,team,team,NOUN
text46,1,15,supportive,supportive,ADJ
text46,1,17,helps,help,VERB
text46,1,20,queries,query,NOUN
text47,2,4,agri,agri,ADJ
text47,2,5,professionals,professional,NOUN
text47,3,2,job,job,NOUN
text47,3,6,developer,developer,NOUN
text48,1,1,Screen,screen,NOUN
text48,1,3,white,white,ADJ
text48,1,5,unable,unable,ADJ
text48,2,2,concept,concept,NOUN
text48,2,11,refine,refine,VERB
text49,2,8,purchase,purchase,NOUN
text49,2,11,types,type,NOUN
text49,2,13,seeds,seed,NOUN
text49,2,16,product,product,NOUN
text49,2,17,quality,quality,NOUN
text49,2,22,reasonable,reasonable,ADJ
text49,2,23,prices,price,NOUN
text49,3,1,Customer,customer,NOUN
text49,3,2,care,care,NOUN
text49,3,3,service,service,NOUN
text49,4,1,THANKS,thank,NOUN
text50,1,1,Farmer,farmer,NOUN
text50,1,2,friendly,friendly,ADJ
text50,1,13,information,information,NOUN
text50,2,2,vedika,vedika,NOUN
text50,2,4,crop,crop,NOUN
text50,2,5,docter,docter,NOUN
text50,2,6,helps,help,VERB
text50,2,9,lot,lot,NOUN
text50,3,3,delivery,delivery,NOUN
text50,3,4,services,service,NOUN
text50,3,6,advisory,advisory,ADJ
text50,3,7,services,service,NOUN
text50,3,8,giving,give,VERB
text50,3,10,support,support,NOUN
text52,1,1,Worst,bad,ADJ
text52,2,10,purchase,purchase,NOUN
text52,3,2,purchase,purchase,NOUN
text52,3,7,blank,blank,ADJ
text52,3,8,page,page,NOUN
text52,4,6,happened,happen,VERB
text52,4,9,purchase,purchase,NOUN
text52,5,5,products,product,NOUN
text53,1,2,delivered,deliver,VERB
text53,1,3,expired,expired,ADJ
text53,1,4,item,item,NOUN
text53,1,8,offer,offer,VERB
text53,1,12,time,time,NOUN
text53,2,4,bottles,bottle,NOUN
text53,2,6,insecticide,insecticide,NOUN
text53,2,11,support,support,NOUN
text53,2,16,delivered,deliver,VERB
text53,2,20,contact,contact,VERB
text53,3,2,customer,customer,NOUN
text53,3,3,care,care,NOUN
text53,3,9,reach,reach,NOUN
text54,1,4,informative,informative,ADJ
text54,1,5,👍,👍,NOUN
text55,1,9,quality,quality,NOUN
text55,1,10,products,product,NOUN
text55,1,14,brands,brand,NOUN
text55,1,19,choose,choose,VERB
text55,1,20,wich,wich,NOUN
text55,1,27,giving,give,VERB
text55,1,33,wook,wook,NOUN
text56,1,5,helpful,helpful,ADJ
text56,1,13,delay,delay,NOUN
text56,1,15,delivery,delivery,NOUN
text56,1,18,product,product,NOUN
text56,2,3,remaing,remaing,NOUN
text56,2,5,super,super,ADJ
text57,1,5,agriculture,agriculture,NOUN
text57,1,8,nice,nice,ADJ
text58,1,4,informative,informative,ADJ
text58,1,7,ful,ful,ADJ
text58,2,1,Easy,easy,ADJ
text58,2,8,languages,language,NOUN
text59,1,1,Good,good,ADJ
text60,1,3,love,love,VERB
text60,1,10,clean,clean,ADJ
text60,1,12,user,user,NOUN
text60,1,13,friendly,friendly,ADJ
text60,1,14,interface,interface,NOUN
text60,1,17,crop,crop,NOUN
text60,1,18,doctor,doctor,NOUN
text60,1,21,forum,forum,NOUN
text60,1,25,share,share,VERB
text60,1,27,experiences,experience,NOUN
text60,1,29,difficulties,difficulty,NOUN
text61,3,2,product,product,NOUN
text61,3,3,catalog,catalog,NOUN
text61,3,5,displaying,display,VERB
text61,3,8,white,white,ADJ
text61,3,9,screen,screen,NOUN
text61,4,3,frustrating,frustrating,ADJ
text61,4,6,browse,browse,VERB
text62,1,1,Worst,bad,ADJ
text62,1,2,experience,experience,NOUN
text62,1,10,waiting,wait,VERB
text62,1,13,weeks,week,NOUN
text62,1,16,call,call,VERB
text62,1,18,delivery,delivery,NOUN
text62,1,19,status,status,NOUN
text62,1,25,dispatched,dispatch,VERB
text62,3,1,👎,👎,NOUN
text62,9,5,inform,inform,VERB
text62,9,9,wait,wait,NOUN
text62,9,12,cancellation,cancellation,NOUN
text62,9,14,Worst,bad,ADJ
text63,1,4,buy,buy,VERB
text63,1,11,options,option,NOUN
text63,1,13,returns,return,NOUN
text63,1,15,refund,refund,VERB
text63,1,20,stock,stock,NOUN
text63,1,21,1to,1to,ADJ
text63,1,27,selling,sell,VERB
text63,1,32,return,return,VERB
text63,1,34,product,product,NOUN
text63,1,39,option,option,NOUN
text63,1,45,product,product,NOUN
text63,1,50,options,option,NOUN
text63,2,2,PRODUCT,product,NOUN
text63,2,8,SUPPLIED,supply,VERB
text63,2,11,MONTHS,month,NOUN
text63,2,12,OLD,old,ADJ
text63,2,13,PRODUCT,product,NOUN
text63,2,16,MONTHS,month,NOUN
text63,2,17,LEFT,leave,VERB
text63,3,5,REFUNDS,refund,NOUN
text63,4,2,BUY,buy,VERB
text63,4,5,OTHER,other,ADJ
text63,4,6,REPUTED,reputed,ADJ
text63,4,8,SITES,site,NOUN
text63,4,11,'S,be,VERB
text63,4,12,EASY,EASY,NOUN
text63,4,13,RETURNS,return,NOUN
text63,4,15,REFUNDS,refund,NOUN
text63,4,17,BIGHAAT,BIGHAAT,NOUN
text63,4,19,RECOMMENDED,recommend,VERB
text64,1,2,helpful,helpful,ADJ
text65,1,1,Dear,dear,ADJ
text65,2,1,Thank,thank,VERB
text67,1,1,Best,good,ADJ
text67,1,4,modren,modren,NOUN
text67,1,5,agriculture,agriculture,NOUN
text68,1,1,Good,good,ADJ
text69,1,4,helpful,helpful,ADJ
text69,1,8,providing,provide,VERB
text69,1,9,relevant,relevant,ADJ
text69,1,10,information,information,NOUN
text69,2,2,click,click,NOUN
text69,2,5,button,button,NOUN
text69,2,11,information,information,NOUN
text69,2,13,plant,plant,NOUN
text69,2,14,protection,protection,NOUN
text69,3,3,features,feature,NOUN
text69,3,8,ultimate,ultimate,ADJ
text69,3,10,unending,unending,ADJ
text69,3,11,stream,stream,NOUN
text69,3,13,real,real,ADJ
text69,3,14,service,service,NOUN
text71,1,1,Nice,nice,ADJ
text72,1,1,Excellent,excellent,ADJ
text72,1,3,👍,👍,NOUN
text73,1,5,products,product,NOUN
text73,1,16,easy,easy,ADJ
text73,1,21,product,product,NOUN
text73,1,22,rates,rate,NOUN
text73,1,25,affordable,affordable,ADJ
text73,2,1,Thank,thank,VERB
text74,1,1,Good,good,ADJ
text74,1,2,team,team,NOUN
text74,1,3,support,support,NOUN
text74,1,6,received,receive,VERB
text74,1,8,product,product,NOUN
text74,1,10,time,time,NOUN
text74,1,14,tough,tough,ADJ
text74,1,15,situation,situation,NOUN
text74,3,1,Thanku,thanku,NOUN
text74,3,3,quality,quality,NOUN
text74,3,4,product,product,NOUN
text75,1,3,experience,experience,NOUN
text75,1,5,response,response,NOUN
text75,1,9,advisory,advisory,NOUN
text75,1,12,helpful,helpful,ADJ
text75,2,4,quality,quality,NOUN
text75,2,5,seeds,seed,NOUN
text75,2,7,watermelon,watermelon,NOUN
text75,2,9,muskmelon,muskmelon,NOUN
text75,2,11,bitterguard,bitterguard,NOUN
text75,2,13,mulching,mulching,NOUN
text75,2,14,sheet,sheet,NOUN
text75,3,3,feature,feature,NOUN
text75,3,4,kisan,kisan,NOUN
text75,3,5,vedika,vedika,NOUN
text75,3,11,helpful,helpful,ADJ
text75,3,13,providing,provide,VERB
text75,3,14,agriculture,agriculture,NOUN
text75,3,15,advisory,advisory,NOUN
text76,1,2,helpful,helpful,ADJ
text76,2,3,providing,provide,VERB
text76,2,5,tips,tip,NOUN
text76,2,7,cultivation,cultivation,NOUN
text76,2,8,practices,practice,NOUN
text76,3,1,Best,good,ADJ
text76,3,2,online,online,ADJ
text76,3,3,store,store,NOUN
text76,3,6,agri,agri,ADJ
text76,3,7,inputs,input,NOUN
text77,1,5,months,month,NOUN
text77,1,7,lockdow,lockdow,NOUN
text77,1,10,searching,search,VERB
text77,1,12,buy,buy,NOUN
text77,1,13,mulching,mulching,NOUN
text77,1,14,sheet,sheet,NOUN
text77,1,18,luck,luck,NOUN
text77,1,20,found,find,VERB
text77,1,24,plce,plce,VERB
text77,1,28,store,store,NOUN
text77,1,34,stock,stock,NOUN
text77,1,36,time,time,NOUN
text78,1,2,nice,nice,ADJ
text79,1,4,information,information,NOUN
text79,1,7,chemicals,chemical,NOUN
text80,1,9,related,relate,VERB
text80,1,11,agriculture,agriculture,NOUN
text80,2,1,Give,give,VERB
text80,2,2,accurate,accurate,ADJ
text80,2,3,solutions,solution,NOUN
text81,1,1,Best,good,ADJ
text83,1,2,friendly,friendly,ADJ
text84,1,1,Good,good,ADJ
text84,1,5,products,product,NOUN
text85,1,2,friendly,friendly,ADJ
text86,1,1,Thanks,thank,NOUN
text87,1,2,screen,screen,NOUN
text87,1,4,complete,complete,ADJ
text87,1,5,white,white,ADJ
text87,1,8,display,display,NOUN
text87,1,10,scrolling,scroll,VERB
text87,2,4,bug,bug,NOUN
text88,1,1,Good,good,ADJ
text88,1,2,concept,concept,NOUN
text88,1,6,improvement,improvement,NOUN
text88,2,7,kindky,kindky,NOUN
text88,2,8,improve,improve,VERB
text88,3,3,separate,separate,ADJ
text88,3,4,catagory,catagory,NOUN
text88,3,6,Urban,urban,ADJ
text88,3,7,seeds,seed,NOUN
text88,3,10,quantity,quantity,NOUN
text88,3,12,tarrace,tarrace,NOUN
text88,3,13,garden,garden,NOUN
text88,3,15,urban,urban,ADJ
text89,1,4,nice,nice,ADJ
text89,2,3,guidance,guidance,NOUN
text89,2,8,crops,crop,NOUN
text89,3,2,usage,usage,NOUN
text89,3,4,pesticides,pesticide,NOUN
text90,1,15,experience,experience,NOUN
text90,1,17,discussed,discuss,VERB
text90,1,19,specialist,specialist,ADJ
text90,1,20,agronomist,agronomist,NOUN
text90,2,1,Thanks,thank,NOUN
text90,2,3,lot,lot,NOUN
text90,2,5,team,team,VERB
text91,1,1,Excellent,excellent,ADJ
text91,1,5,Useful,useful,ADJ
text91,1,8,direct,direct,ADJ
text91,1,11,knowledge,knowledge,NOUN
text91,1,13,video,video,NOUN
text91,1,15,audio,audio,NOUN
text91,1,18,agriculture,agriculture,NOUN
text91,1,19,related,relate,VERB
text91,1,20,activities,activity,NOUN
text92,1,7,left,left,ADJ
